 key  value 
0 649.83
2 573.89
4 690.84
8 310.69
10 539.78
12 29.8
13 724.48
14 497.79
16 139.16
17 114.39
18 341.82
20 730.33
21 75.59
22 422.17
31 386.06
32 464.54
33 616.13
35 165.93
36 53.24
40 704.41
43 268.39
44 107.69
47 83.5
48 217.28
49 611.23
50 137.04
51 246.94
54 24.69
58 190.17
64 405.94
68 766.91
70 0
78 297.23
96 128.48
104 24.68
108 744.1
116 98.1
118 161.35
119 586.69
128 561.2
129 320.33
140 153.04
141 53.27
142 564.24
192 82.83
197 39.4
230 62.5
241 89.73
256 616.9
262 538.39
265 509.29
276 599.04
277 116.79
284 164.08
288 697.1
293 141.91
295 99.22
320 347.44
343 122.3
356 187.59
368 454.88
369 481.48
384 216.91
429 286.5
433 314.3
442 395.73
448 667.78
453 427.02
457 148.16
480 471.62
482 239.15
484 370.32
494 264.06
512 757.39
518 342.3
529 239.81
554 172.69
559 221.92
568 199.04
572 261.23
689 311.86
768 354.88
775 370.86
786 347.88
832 385.67
857 390.44
859 413.08
879 392.78
881 433.56
888 703.08
893 416.49
896 440.33
944 468.31
951 417.19
960 438.76
969 490.9
985 459.71
1000 483.29
1005 560.53
1006 589.52
1008 552.01
1021 439.69
1024 834.25
1028 461.83
1032 897.4
1034 537.01
1036 796.08
1037 517.04
1040 667.62
1047 617.66
1056 739.73
1065 464.2
1068 642.29
1072 644.69
1074 484.19
1075 512.32
1104 497.36
1111 554
1116 692
1119 487.05
1120 576.41
1128 883.5
1129 718.54
1132 865.02
1133 742.85
1136 515.73
1139 600.63
1142 510.62
1152 526.63
1172 621.31
1182 520.01
1200 581.94
1202 648.46
1203 541.82
1213 766.9
1229 546.37
1264 817.85
1280 839.56
1283 564.4
1304 568.95
1305 791.92
1321 683.84
1339 857.24
1343 708.85
1359 593.16
1369 601.98
1408 1020.34
1438 623.87
1440 896.29
1443 744.42
1456 615.99
1462 648.05
1474 764.92
1480 910.36
1486 924.69
1489 638.72
1519 953.98
1527 662.66
1528 671.04
1536 749.07
1540 982.68
1584 1131.79
1585 686.69
1587 1011.39
1589 800.18
1600 1040.99
1611 709.21
1626 694.43
1632 685.07
1664 721.59
1686 714.53
1711 744.62
1719 732.04
1744 879.75
1749 752.51
1755 736.86
1783 768.38
1792 793.08
1818 763.41
1824 765.11
1826 788.82
1829 775.2
1885 804.14
1912 786.34
1918 827
1920 958.11
1969 825.41
1985 822.36
2014 848.85
2025 877.52
2033 853.71
2048 866.04
2067 844.51
2108 941.45
2109 877.79
2112 899.48
2138 868.8
2149 902.89
2175 893.25
2189 922.71
2216 925.37
2240 1086.11
2247 915.89
2250 944.18
2266 967.1
2272 943.47
2286 969.55
2287 962.81
2295 938.72
2300 962.45
2301 962.62
2304 995.98
2321 986.28
2327 994.26
2330 1006.13
2351 1018.67
2355 1028.2
2357 1010.39
2362 986.86
2384 1095.96
2387 1008
2389 1040.77
2392 1052.9
2399 1034.27
2412 1031.91
2416 1113.55
2418 1058.43
2424 1062.67
2427 1078.03
2430 1089.56
2432 1075.99
2444 1091.4
2456 1081.02
2460 1108.28
2462 1099.15
2464 10000
2465 1100.4
2468 1055.95
2472 1082.55
2473 1111.9
2476 1113.63
2477 1121.38
2478 1139.78
2480 1113.59
2486 1103.05
2488 1103.24
2491 1136.02
2493 1085.6
2496 1118.81
2507 1079.08
2510 1119.15
2512 1114.17
2513 1166.04
2514 1131.53
2518 1108.04
2527 1109.05
2536 1129.64
2552 1125.46
2560 1129.54
2561 1149.24
2592 1172.74
