 key  value 
13 87
14 71
16 118
18 129
48 84
49 119
68 185
70 184
71 213
78 151
84 180
87 185
106 151
118 145
119 142
129 156
142 262
145 196
148 246
151 248
156 242
170 258
180 206
183 246
184 217
185 216
188 251
196 207
199 293
206 264
207 312
213 311
216 322
217 300
242 282
248 282
254 291
262 265
264 358
265 369
267 365
282 367
293 318
300 293
304 326
311 427
312 339
318 350
322 440
339 446
348 439
350 384
352 300
358 408
366 328
367 409
368 453
369 368
381 409
383 352
384 482
390 384
408 532
409 527
410 419
413 387
417 410
419 383
427 487
429 494
433 429
439 476
440 592
442 484
444 456
446 485
453 442
480 593
482 572
484 518
485 595
487 575
494 529
500 544
504 417
507 538
518 433
523 504
525 529
527 556
529 523
532 546
546 638
554 457
556 659
568 504
572 590
575 630
590 610
592 694
595 617
603 550
610 703
617 715
619 699
630 666
638 680
659 690
666 764
680 719
689 786
690 736
693 728
694 728
698 676
703 745
714 711
715 724
719 797
724 806
728 808
736 780
745 813
764 790
780 845
790 847
797 841
806 822
808 826
812 795
813 828
822 916
825 804
826 871
828 917
831 891
841 877
844 906
845 880
847 888
871 959
877 958
880 918
888 961
902 887
916 930
917 922
918 1011
922 998
930 995
957 984
958 992
959 971
961 981
971 1054
981 1070
987 1063
992 1072
995 1030
998 1043
1003 1038
1005 1020
1006 1005
1011 1046
1015 1029
1018 1028
1020 1041
1021 987
1023 1130
1028 1021
1030 1107
1040 1068
1041 1049
1043 1120
1046 1078
1047 1006
1049 1018
1054 1101
1057 1080
1063 1090
1067 1087
1068 1047
1070 1096
1072 1078
1078 1186
1084 1188
1090 1192
1096 1150
1101 1187
1107 1164
1110 1144
1116 1040
1120 1139
1128 1157
1129 1116
1133 1129
1139 1256
1144 1184
1150 1241
1153 1242
1164 1211
1174 1082
1184 1153
1186 1211
1187 1194
1192 1196
1194 1307
1196 1184
1203 1182
1211 1266
1213 1133
1223 1306
1231 1286
1241 1288
1242 1231
1256 1287
1262 1239
1264 1305
1266 1381
1286 1294
1287 1390
1288 1325
1294 1223
1300 1303
1305 1213
1306 1340
1307 1352
1322 1272
1325 1437
1337 1349
1339 1264
1340 1390
1343 1443
1352 1446
1381 1401
1390 1343
1401 1474
1437 1474
1440 1339
1443 1474
1446 1491
1474 1589
1486 1440
1491 1589
1499 1545
1519 1486
1540 1519
1587 1540
1599 1589
1600 1587
1708 1599
1789 1708
1840 1789
1872 1840
1910 1872
1959 1922
2000 1910
2048 2000
2084 1963
2087 2114
2091 2136
2098 2091
2114 2124
2124 2098
2135 2153
2136 2143
2143 2048
2181 2087
2222 2181
2295 2222
2301 2295
2338 2274
2362 2301
2367 2362
2376 2367
2384 2431
2387 2362
2393 2376
2412 2387
2421 2393
2437 2421
2440 2444
2442 2387
2443 2474
2444 2443
2451 2471
2453 2440
2456 2437
2461 2415
2462 2443
2464 2423
2465 2444
2468 2412
2470 2485
2472 2421
2473 2453
2474 2456
2476 2443
2477 2462
2478 2536
2486 2472
2490 2465
2491 2473
2493 2468
2497 2450
2507 2468
2510 2465
2512 2486
2513 2491
2514 2518
2517 2487
2518 2507
2527 2493
2533 2469
2536 2512
2552 2527
2561 2552
2592 2561
