 key  value 
0 4
2 131
4 13
8 18
10 2
12 54
14 10
16 50
18 31
22 107
30 35
31 22
32 14
33 0
35 58
36 47
43 8
44 50
47 44
48 51
49 119
50 35
51 43
53 37
54 36
58 48
66 95
68 108
70 54
73 57
78 129
103 41
105 10
107 32
108 13
114 44
116 47
118 30
119 142
129 18
131 33
142 262
147 108
149 105
152 13
161 114
177 149
209 177
216 147
227 181
236 152
241 246
244 254
246 161
262 265
265 369
267 236
274 241
290 259
301 209
304 280
322 216
331 301
355 416
365 267
368 453
369 368
376 327
381 331
383 274
389 365
395 379
409 381
410 419
413 387
417 410
419 383
426 350
429 494
433 429
440 322
442 484
453 442
460 409
467 460
484 518
489 462
494 529
504 417
517 389
518 433
523 504
529 523
543 517
564 520
579 467
592 440
615 579
626 595
640 615
655 543
666 655
688 640
694 592
705 688
745 705
753 667
758 745
764 666
773 769
775 758
781 735
783 764
786 775
795 694
852 783
863 795
870 852
871 863
875 865
879 786
893 879
946 870
954 876
959 871
960 893
971 959
981 921
985 960
987 949
992 946
995 931
1005 1034
1006 1005
1030 975
1034 1075
1037 998
1040 1068
1043 1008
1047 1006
1054 971
1061 1022
1068 1047
1072 992
1074 985
1075 1074
1082 1075
1083 1072
1101 1054
1116 1040
1127 1048
1129 1116
1133 1129
1147 1116
1172 1083
1182 1142
1187 1101
1194 1187
1200 1171
1213 1133
1223 1172
1264 1305
1289 1300
1294 1223
1303 1354
1305 1213
1307 1194
1309 1203
1339 1264
1351 1294
1352 1307
1420 1387
1425 1351
1438 1403
1440 1339
1446 1352
1459 1432
1465 1425
1482 1451
1486 1440
1491 1446
1509 1471
1519 1486
1540 1519
1566 1465
1573 1527
1587 1540
1589 1491
1600 1587
1603 1596
1604 1566
1704 1604
1787 1704
1800 1701
1820 1787
1906 1820
1993 1906
2058 1993
2087 2058
2181 2087
2189 2112
2222 2181
2292 2255
2295 2222
2301 2295
2351 2327
2362 2301
2366 2311
2367 2362
2376 2367
2387 2362
2393 2376
2407 2355
2412 2387
2421 2393
2434 2376
2437 2421
2440 2444
2442 2387
2443 2474
2444 2443
2453 2440
2456 2437
2460 2419
2462 2443
2464 2422
2465 2444
2468 2412
2472 2421
2473 2453
2474 2456
2476 2443
2477 2462
2478 2536
2484 2496
2486 2472
2488 2467
2491 2473
2493 2468
2507 2468
2510 2465
2512 2486
2513 2491
2514 2518
2518 2507
2523 2500
2527 2493
2536 2512
2549 2516
2552 2527
2561 2552
2592 2561
