 key  value 
0 1262.59
2 1186.65
4 1303.6
8 923.45
10 1152.54
12 655.72
13 1337.24
14 1110.55
16 751.92
17 727.15
18 954.58
19 22.57
21 688.35
22 1034.93
31 998.82
32 1077.3
33 1228.89
35 778.69
36 666
40 110.32
43 881.15
44 720.45
45 28.23
47 696.26
48 830.04
49 0
50 749.8
51 859.7
58 802.93
63 58.46
68 1379.67
70 626.96
72 1303.28
74 89.77
78 909.99
96 727.61
98 642.33
108 1356.86
116 708.84
118 752.31
119 43.42
124 45.14
129 933.09
160 74.47
184 612.69
188 117.24
191 71.2
197 604.64
203 729.6
210 93.68
215 588.66
230 580.43
256 1229.66
281 144.4
295 554.35
308 949.96
309 122.13
312 797.13
313 564.01
316 994.64
318 699.23
320 903.46
345 540.15
368 185.01
370 532.79
372 143.88
383 599.2
385 629.47
399 176.56
401 675.74
404 1217.36
405 653.86
410 537.34
416 1142.44
417 516.48
419 558.39
426 695.43
432 292.17
433 322.27
434 652.17
442 265.95
448 1280.54
452 716.99
453 235.76
456 562.53
457 502.45
459 630.29
463 353.06
475 479.98
496 191.35
502 205.1
503 761.87
504 484.23
512 1370.15
514 579.83
523 457.51
525 381.9
528 737.54
529 431.74
536 404.34
540 224.31
545 783.95
636 254.39
640 919.11
658 805.95
683 828.96
696 278.42
733 852.74
746 307.62
768 863.89
775 882.1
810 329.58
856 1079.49
857 901.68
859 924.32
866 348.52
881 944.8
896 957.33
911 370.17
927 401.73
944 979.55
968 1088.25
969 1002.14
974 424.14
1024 1407.32
1037 1028.28
1060 452.34
1086 483.81
1111 1065.24
1120 1087.65
1139 1111.87
1152 1043.63
1172 1132.55
1183 525.75
1202 1159.7
1244 547.93
1280 1348.72
1316 570.9
1321 1195.08
1330 594.28
1343 1220.09
1408 617.54
1429 623.16
1443 1255.66
1468 666.19
1474 1276.16
1481 645.74
1536 1191.45
1556 746.91
1557 707.57
1580 1209.68
1581 675.45
1589 1311.42
1600 843.04
1608 696.13
1613 803.57
1664 1238.59
1669 774.67
1741 739.34
1788 954
1790 766.49
1821 795.73
1920 1469.35
1930 824.07
1981 846.26
2048 1383.04
2072 899.29
2076 884.4
2101 923.27
2176 1334.67
2184 963.41
2215 980.82
2257 1010.09
2304 1318.47
2322 1034.76
2353 1058.39
2402 1083.88
2410 1109.87
2432 10000
2439 1138.03
2443 1270.47
2444 1250.15
2448 1335.41
2451 1161.39
2466 1150.17
2472 1318.75
2475 1294.43
2476 1272.38
2477 1229.83
2478 1339.61
2480 1313.42
2486 1302.88
2488 1365.07
2490 1219.32
2491 1200.35
2495 1174.49
2506 1202.49
2508 1373.93
2510 1237.43
2512 1314
2513 1226.38
2514 1411.75
2518 1388.26
2527 1399.2
2536 1329.47
2552 1415.61
2560 10000
2561 1439.39
2592 1462.89
