 key  value 
0 432.55
2 356.61
4 473.56
8 93.41
10 322.5
12 200.25
13 507.2
14 280.51
16 97.02
18 124.54
20 920.23
22 204.89
24 945.55
30 70.02
31 168.78
32 247.26
33 398.85
35 46.57
36 151.75
40 894.31
43 51.11
44 98.43
47 122.41
48 0
49 801.13
50 74.83
51 29.66
54 177.4
58 22.69
64 188.66
68 549.63
70 206.96
78 79.95
96 126.2
108 526.82
111 21.57
114 119.95
116 144.92
118 93.24
119 776.59
128 343.92
129 103.05
142 754.14
153 50.15
160 846.57
161 147.7
178 44.26
192 188.48
202 69.13
240 85.86
241 194.77
246 171.58
256 399.62
262 728.29
265 699.19
274 215.51
291 108.95
307 105.2
320 130.16
335 128.18
368 644.78
369 671.38
383 254.88
400 154.4
410 303.43
416 312.4
417 328.83
419 278.42
424 958.31
428 164.24
429 476.4
433 504.2
442 585.63
448 450.5
453 616.92
480 674.96
481 188.19
484 560.22
494 453.96
503 177.41
504 373.21
512 540.11
518 532.2
523 400.94
529 429.71
572 200.4
579 223.87
640 232.55
649 244.84
665 267.91
689 251.03
747 302.92
768 279.43
786 287.05
820 326.56
840 348.28
879 331.95
888 485.8
893 355.66
896 379.5
899 381.62
951 356.36
960 377.93
968 402.92
975 426
985 398.88
1000 406.41
1005 499.7
1006 528.69
1008 425.3
1021 378.86
1024 616.97
1028 401
1030 447.33
1034 476.18
1040 606.79
1047 556.83
1064 439.86
1065 403.37
1068 581.46
1072 461.29
1074 423.36
1075 451.49
1104 436.53
1107 480.81
1116 631.17
1119 426.22
1129 657.71
1132 647.74
1133 682.02
1142 449.79
1152 465.8
1182 459.18
1186 500.51
1203 480.99
1208 508.73
1211 526.33
1213 706.07
1229 485.54
1264 757.02
1280 622.28
1283 503.57
1291 561.23
1304 508.12
1305 731.09
1339 796.41
1359 532.33
1369 541.15
1381 582.05
1401 605.05
1408 10000
1438 563.04
1440 835.46
1456 555.16
1462 587.22
1480 697.07
1486 863.86
1489 577.89
1498 639.36
1519 893.15
1527 601.83
1528 610.21
1536 688.24
1540 921.85
1584 1070.96
1585 625.86
1587 950.56
1589 659.59
1600 980.16
1611 648.38
1626 633.6
1632 624.24
1664 660.76
1686 653.7
1711 683.79
1719 671.21
1744 818.92
1749 691.68
1755 676.03
1783 707.55
1792 708.04
1818 702.58
1824 704.28
1826 727.99
1829 714.37
1885 743.31
1912 725.51
1918 766.17
1920 808.25
1969 764.58
1985 761.53
2014 788.02
2025 816.69
2033 792.88
2048 797.52
2067 783.68
2108 880.62
2109 816.96
2112 838.65
2138 807.97
2149 842.06
2175 832.42
2189 861.88
2216 864.54
2240 942.79
2247 855.06
2250 883.35
2266 906.27
2272 882.64
2286 908.72
2287 901.98
2295 877.89
2300 901.62
2301 901.79
2304 935.15
2321 925.45
2327 933.43
2330 945.3
2351 957.84
2355 967.37
2357 949.56
2362 926.03
2384 1035.13
2387 947.17
2389 979.94
2392 992.07
2399 973.44
2412 971.08
2416 1052.72
2418 997.6
2424 1001.84
2427 1017.2
2430 1028.73
2432 990.95
2444 1030.57
2456 1020.19
2460 1023.24
2462 1038.32
2464 1045.09
2465 1039.57
2468 995.12
2472 1021.72
2473 1051.07
2476 1052.8
2477 1060.55
2478 1078.95
2480 1052.76
2486 1042.22
2488 1042.41
2491 1075.19
2493 1024.77
2496 1033.77
2507 1018.25
2510 1058.32
2512 1053.34
2513 1105.21
2514 1070.7
2518 1047.21
2527 1048.22
2536 1068.81
2552 1064.63
2560 1068.71
2561 1088.41
2592 1111.91
