 key  value 
0 33
2 10
4 0
7 46
8 18
10 14
13 4
16 50
18 31
22 107
30 35
31 22
32 14
33 2
35 58
36 47
43 8
44 50
46 83
47 44
48 51
49 119
50 35
51 43
54 36
56 69
58 48
67 193
68 108
70 54
78 129
101 14
107 32
108 13
114 44
118 30
119 142
129 18
142 262
144 101
149 14
161 114
168 144
188 251
212 168
213 149
236 150
241 246
246 161
253 149
262 265
265 369
274 241
279 236
311 213
321 212
337 321
355 253
368 453
369 368
383 274
399 372
410 419
412 357
417 410
419 383
427 311
429 494
433 429
442 484
448 336
453 442
457 343
460 337
467 460
484 518
493 456
494 529
498 582
499 355
504 417
516 485
518 433
523 504
529 523
533 427
564 533
579 467
588 499
602 564
609 588
615 579
640 615
658 555
672 602
685 655
688 640
690 609
705 688
709 609
713 632
726 672
730 709
734 710
736 690
745 705
758 745
775 758
783 726
786 775
797 730
801 736
821 773
831 783
838 813
840 797
841 801
879 786
893 879
899 841
901 831
916 840
921 901
923 916
930 899
960 893
968 899
970 930
978 1075
981 921
985 960
993 976
998 923
1005 1034
1006 1005
1031 981
1034 1075
1037 998
1040 1068
1047 1006
1057 988
1061 970
1068 1047
1074 985
1075 1074
1087 1061
1096 1031
1116 1040
1127 1039
1129 1116
1131 1037
1133 1129
1146 1128
1150 1096
1153 1131
1188 1216
1197 1087
1213 1133
1224 1150
1235 1153
1242 1137
1257 1235
1258 1224
1264 1305
1300 1303
1305 1213
1318 1197
1322 1198
1336 1318
1339 1264
1342 1258
1375 1257
1389 1280
1395 1375
1397 1342
1431 1417
1436 1336
1438 1369
1440 1339
1486 1440
1492 1405
1497 1395
1498 1397
1504 1436
1519 1486
1527 1516
1531 1504
1540 1519
1552 1497
1580 1472
1587 1540
1589 1498
1600 1587
1634 1534
1641 1531
1653 1552
1686 1653
1723 1641
1734 1603
1768 1723
1784 1686
1819 1784
1860 1768
1934 1860
1942 1858
1943 1819
1960 1924
1965 1934
1967 1925
1971 1943
2010 1943
2028 1998
2038 2010
2047 2011
2052 1965
2061 1971
2087 2052
2109 2061
2120 2038
2130 2058
2149 2120
2181 2087
2194 2109
2221 2203
2222 2181
2224 2194
2246 2166
2253 2149
2260 2253
2264 2218
2295 2222
2297 2224
2301 2295
2304 2297
2313 2290
2318 2260
2327 2304
2350 2332
2351 2327
2357 2313
2359 2304
2361 2307
2362 2301
2364 2318
2366 2311
2367 2362
2376 2367
2387 2362
2389 2359
2390 2364
2392 2371
2393 2376
2396 2348
2404 2351
2407 2355
2412 2387
2416 2409
2417 2404
2420 2390
2421 2393
2423 2406
2424 2389
2427 2390
2437 2421
2442 2387
2443 2474
2456 2437
2462 2427
2464 2422
2465 2424
2468 2412
2472 2421
2473 2417
2474 2456
2476 2443
2477 2462
2478 2536
2484 2432
2486 2472
2488 2467
2491 2473
2493 2468
2507 2468
2510 2465
2512 2486
2513 2491
2514 2518
2518 2507
2523 2500
2527 2493
2536 2512
2549 2516
2552 2527
2561 2552
2592 2561
