 key  value 
0 33
2 10
4 0
10 14
13 4
14 32
16 50
18 129
22 31
30 35
31 18
32 22
33 2
35 58
36 47
40 46
43 51
44 50
47 44
49 119
50 35
51 48
54 36
58 48
68 108
70 54
78 43
89 9
108 13
111 48
114 44
118 30
119 142
127 0
129 78
142 262
147 108
153 111
161 114
178 111
202 178
240 153
241 246
246 161
260 178
262 265
265 369
274 241
283 257
291 240
307 202
335 307
340 455
368 453
369 368
383 274
400 291
409 367
410 419
414 441
417 410
419 383
428 335
429 494
433 429
442 484
447 341
453 442
455 430
481 428
484 518
494 529
502 399
503 400
504 417
517 468
518 433
523 504
529 523
556 527
572 503
579 481
649 579
659 556
665 649
689 572
747 665
786 689
820 747
840 820
879 786
887 838
893 879
899 840
903 843
951 879
960 893
966 876
968 899
975 968
985 960
1001 967
1005 1034
1006 1005
1020 1075
1021 951
1024 1004
1028 1021
1030 975
1034 1075
1038 1009
1040 1068
1044 1011
1047 1006
1050 991
1065 1021
1068 1047
1073 1048
1074 985
1075 1074
1077 1054
1104 1028
1107 1030
1116 1040
1119 1065
1129 1116
1133 1129
1142 1119
1167 1081
1182 1104
1186 1107
1193 1141
1203 1182
1206 1189
1211 1186
1213 1133
1229 1142
1256 1172
1264 1305
1283 1203
1291 1211
1304 1229
1305 1213
1339 1264
1359 1304
1369 1283
1381 1291
1401 1381
1430 1351
1438 1369
1440 1339
1446 1372
1456 1359
1462 1438
1486 1440
1489 1456
1498 1401
1519 1486
1527 1489
1528 1462
1540 1519
1553 1496
1585 1462
1587 1540
1589 1498
1600 1587
1611 1585
1626 1528
1632 1527
1686 1632
1707 1564
1711 1611
1719 1626
1749 1719
1755 1686
1764 1682
1783 1711
1818 1755
1826 1783
1829 1749
1885 1829
1912 1818
1918 1826
1969 1885
1985 1912
2013 1889
2014 1918
2025 2014
2033 1969
2059 1964
2067 1985
2108 2077
2109 2033
2112 2025
2122 2021
2138 2067
2149 2109
2175 2138
2189 2112
2203 2108
2216 2149
2247 2175
2250 2189
2266 2250
2281 2229
2286 2250
2287 2216
2295 2247
2301 2295
2317 2259
2321 2287
2326 2259
2327 2286
2330 2266
2343 2303
2351 2327
2355 2330
2357 2321
2362 2301
2377 2361
2387 2362
2389 2351
2392 2355
2399 2357
2412 2387
2418 2399
2424 2389
2427 2389
2430 2392
2443 2420
2444 2424
2456 2418
2462 2427
2465 2424
2468 2412
2473 2430
2476 2444
2477 2462
2478 2536
2481 2478
2486 2456
2489 2474
2491 2473
2493 2468
2504 2451
2507 2468
2510 2465
2512 2486
2513 2491
2514 2518
2516 2460
2518 2507
2527 2493
2536 2512
2548 2498
2552 2527
2561 2552
2592 2561
