 key  value 
0 33
2 10
4 0
8 18
10 14
13 4
14 32
16 50
22 31
30 35
31 18
32 22
33 2
35 58
36 47
43 8
44 50
46 83
47 44
48 51
49 119
50 35
51 43
54 36
57 0
58 48
65 11
68 108
70 54
78 129
108 13
110 33
114 44
116 47
118 30
119 142
129 18
142 262
156 18
161 114
218 156
238 226
241 246
243 229
246 161
248 156
262 265
265 369
274 241
282 218
289 248
308 248
322 266
327 282
330 308
358 289
367 282
368 453
369 368
383 274
404 379
409 367
410 419
417 410
419 383
421 358
428 330
429 494
433 429
438 436
442 484
449 327
453 442
461 331
479 409
484 518
494 529
500 544
501 428
504 417
516 397
518 433
521 489
522 421
523 504
529 523
532 449
539 479
541 501
548 522
566 532
596 518
640 566
643 541
648 548
654 539
673 646
679 654
681 647
683 648
688 640
705 643
716 619
745 705
750 688
756 679
761 685
768 683
780 756
784 735
786 768
796 745
807 723
813 750
836 780
838 813
857 796
873 857
879 786
880 836
885 893
887 838
893 879
910 823
937 887
945 976
946 880
948 911
949 873
951 879
960 893
966 876
972 937
985 960
1004 980
1005 1034
1006 1005
1011 946
1015 949
1020 1075
1021 951
1023 1015
1028 1021
1031 981
1033 972
1034 1075
1038 1009
1040 1068
1044 1011
1046 992
1047 1006
1065 987
1068 1047
1070 1002
1074 985
1075 1074
1085 1033
1091 1044
1095 1023
1101 1073
1104 1028
1108 1047
1116 1040
1124 1082
1129 1116
1131 1064
1133 1129
1140 1126
1144 1085
1146 1128
1161 1091
1166 1095
1177 1154
1182 1104
1185 1091
1203 1182
1213 1133
1227 1161
1235 1144
1247 1144
1250 1166
1257 1196
1264 1305
1283 1203
1291 1227
1296 1206
1305 1213
1310 1237
1314 1250
1319 1247
1327 1314
1339 1264
1352 1279
1369 1283
1374 1280
1375 1319
1381 1291
1391 1366
1401 1381
1411 1327
1415 1360
1438 1369
1440 1339
1445 1375
1449 1328
1460 1445
1462 1438
1486 1440
1491 1397
1498 1401
1513 1411
1516 1434
1519 1486
1532 1460
1540 1519
1573 1513
1582 1536
1585 1462
1587 1540
1589 1498
1600 1587
1609 1563
1610 1532
1611 1585
1652 1573
1687 1610
1693 1606
1711 1611
1738 1652
1748 1738
1762 1737
1763 1687
1783 1711
1792 1683
1819 1748
1822 1763
1826 1783
1896 1822
1915 1833
1918 1826
1943 1819
1965 1896
2009 1894
2010 1943
2014 1918
2025 2014
2038 2010
2052 1965
2081 2010
2087 2052
2112 2025
2120 2038
2144 2073
2145 2081
2149 2120
2169 2128
2172 2145
2181 2087
2189 2112
2221 2203
2222 2181
2232 2172
2250 2189
2253 2149
2260 2253
2266 2250
2276 2240
2286 2250
2289 2247
2290 2232
2295 2222
2297 2224
2301 2295
2303 2275
2318 2260
2324 2276
2327 2286
2329 2265
2330 2266
2333 2290
2350 2332
2351 2327
2353 2336
2355 2330
2356 2333
2361 2307
2362 2301
2364 2318
2387 2362
2389 2351
2390 2364
2392 2355
2399 2356
2407 2355
2412 2387
2418 2399
2423 2406
2424 2389
2427 2390
2430 2392
2442 2387
2444 2424
2456 2418
2462 2427
2464 2422
2465 2424
2468 2412
2473 2430
2476 2444
2477 2462
2478 2536
2484 2432
2486 2456
2488 2467
2491 2473
2493 2468
2507 2468
2510 2465
2512 2486
2513 2491
2514 2518
2518 2507
2523 2500
2527 2493
2536 2512
2549 2516
2552 2527
2561 2552
2592 2561
