 key  value 
0 113.24
2 186.39
4 73.41
8 447.64
10 221.98
12 724.15
13 41.88
14 263
16 620.92
18 413.09
20 10000
22 337.55
24 10000
30 593.92
31 371.04
32 297.01
33 148.48
35 570.47
36 675.65
40 10000
43 473.45
44 622.33
47 646.31
48 523.9
49 1325.03
50 598.73
51 495.59
54 701.3
56 452.51
58 546.59
60 209.63
61 19.86
64 359.06
68 0
70 730.86
78 457
96 650.1
105 244.62
107 317.07
112 772.3
114 643.85
116 668.82
118 617.14
119 1300.49
122 22.81
128 208.58
129 434.24
131 168
140 646.2
142 1278.04
149 269.15
161 671.6
177 292.31
185 34.31
192 712.38
209 321.18
226 53.98
232 40.64
240 605.2
241 718.67
246 695.48
256 189.22
262 1252.19
265 1223.09
274 739.41
301 342.97
315 87.61
320 502.38
331 372.05
342 111.42
368 1168.68
369 1195.28
375 81.58
381 393.74
383 778.78
409 421.19
410 827.33
416 305.81
417 852.73
419 802.32
422 131.52
424 10000
429 1000.3
432 1057.81
433 1028.1
442 1109.53
448 176.71
453 1140.82
460 444.29
467 467.93
484 1084.12
494 977.86
504 897.11
505 100.04
512 151.35
513 164.55
516 611.73
518 1056.1
523 924.84
529 953.61
549 188.55
579 502.51
615 524.36
640 547.86
642 140.03
653 221.4
684 211.55
685 242.99
688 570.27
705 593.51
723 262.41
745 616.75
752 158.64
758 638.9
768 685.07
775 663.49
786 686.41
795 179.22
802 295.93
833 318.63
863 211.15
871 237.88
879 731.31
893 755.02
896 763.03
901 351.72
921 370.92
959 270.77
960 777.29
971 291.84
985 798.24
1000 640.44
1002 405.29
1004 317.39
1005 899.06
1006 928.05
1024 311.17
1034 875.54
1040 1006.15
1044 433.03
1047 956.19
1054 325.15
1068 980.82
1072 483.93
1074 822.72
1075 850.85
1088 10000
1101 347.63
1104 810.75
1112 468.63
1116 1030.53
1120 558.12
1129 1057.07
1133 1081.38
1152 840.02
1164 490.04
1187 378.96
1194 407.9
1213 1105.43
1234 523.98
1264 1156.38
1280 428.25
1287 547.15
1304 846.67
1305 1130.45
1307 440.32
1339 1195.77
1352 463.73
1361 581.34
1399 604.34
1408 10000
1440 1234.82
1446 496.02
1484 967.17
1486 1263.22
1491 520.72
1519 1292.51
1521 639.2
1536 1087.6
1537 665.91
1540 1321.21
1587 1349.92
1589 552.82
1600 1379.52
1651 703.21
1664 995.13
1685 725.19
1782 759.96
1792 660.14
1838 788.8
1923 823.85
1953 844.76
2048 757.05
2058 881.01
2087 903.82
2181 928.1
2222 951.18
2295 975.4
2301 999.3
2304 1181.12
2362 1023.54
2367 1047.92
2376 1072.09
2387 1044.68
2393 1093.03
2412 1068.59
2421 1113.85
2432 717.85
2437 1143.25
2440 1250.43
2443 1197.62
2444 1224.7
2448 1138.53
2453 1273.85
2456 1167.51
2460 697.68
2462 1228.15
2464 620.68
2465 1268.13
2468 1092.63
2472 1152.61
2473 1299.35
2474 1189.17
2476 1220.85
2477 1250.38
2478 1216.34
2480 1190.15
2486 1179.61
2488 1149.79
2491 1323.47
2493 1122.28
2496 718.56
2507 1115.76
2510 1286.88
2512 1190.73
2513 1353.49
2514 1168.21
2518 1144.72
2527 1145.73
2536 1206.2
2552 1162.14
2560 1166.22
2561 1185.92
2592 1209.42
