 key  value 
0 33
2 10
4 0
10 14
13 4
14 32
16 17
17 21
18 129
20 40
21 36
22 31
28 59
31 18
32 22
33 2
35 50
36 98
41 49
43 51
44 47
46 83
47 36
48 58
49 119
50 44
51 48
58 35
68 108
70 197
78 43
87 109
98 184
108 13
113 142
118 203
125 133
129 78
132 119
142 119
155 113
184 215
192 217
197 230
203 318
215 313
219 132
230 295
249 155
281 249
295 370
309 219
313 345
318 401
345 417
361 385
368 281
370 457
372 309
383 419
385 383
397 446
399 372
401 405
403 376
405 385
410 417
414 390
417 504
419 410
426 434
432 442
433 432
434 459
442 453
450 479
452 426
453 368
456 410
457 475
459 514
463 433
475 523
490 450
502 399
503 528
504 523
509 462
514 419
519 435
523 529
525 463
528 452
529 536
535 540
536 525
539 515
540 502
545 503
590 572
636 540
658 545
663 538
683 658
696 636
732 674
733 683
746 696
758 683
775 733
810 746
820 744
857 775
859 857
866 810
881 859
911 866
916 875
927 911
944 881
969 944
974 927
1036 1012
1037 969
1060 974
1083 1053
1086 1060
1089 1065
1111 1037
1115 1033
1120 1111
1122 1096
1139 1120
1172 1139
1179 1117
1183 1086
1202 1172
1244 1183
1279 1226
1316 1244
1321 1202
1330 1316
1343 1321
1422 1362
1429 1330
1443 1343
1465 1436
1468 1429
1471 1440
1474 1443
1481 1429
1536 1505
1556 1557
1557 1468
1581 1481
1589 1474
1594 1490
1600 1613
1608 1581
1613 1669
1669 1556
1700 1640
1741 1608
1790 1741
1821 1790
1930 1821
1981 1930
2072 2076
2076 1981
2101 2072
2151 2137
2184 2101
2215 2184
2245 2178
2257 2215
2322 2257
2353 2322
2364 2401
2402 2353
2410 2402
2439 2410
2443 2444
2444 2477
2448 2472
2451 2439
2456 2486
2466 2410
2471 2416
2472 2486
2474 2443
2475 2443
2476 2444
2477 2490
2478 2536
2486 2475
2490 2491
2491 2495
2495 2466
2506 2451
2508 2448
2510 2513
2512 2486
2513 2506
2514 2518
2518 2508
2527 2508
2535 2520
2536 2512
2547 2525
2552 2527
2561 2552
2592 2561
