 key  value 
0 1262.15
2 1186.21
4 1303.16
8 923.01
10 1152.1
12 655.28
13 1336.8
14 1110.11
16 751.48
17 726.71
18 954.14
20 150.41
21 687.91
22 1034.49
31 998.38
32 1076.86
33 1228.45
35 778.25
36 665.56
40 124.49
43 880.71
44 720.01
47 695.82
48 829.6
49 24.54
50 749.36
51 859.26
58 802.49
64 1018.26
68 1379.23
70 626.52
78 909.55
96 727.17
98 641.89
108 1356.42
112 625.12
113 51.05
116 708.4
118 751.87
119 0
128 1173.52
129 932.65
132 24.47
142 29.13
155 73.6
184 612.25
192 658.82
197 604.2
203 729.16
215 588.22
219 50.06
230 579.99
249 114.99
256 1229.22
281 143.96
295 553.91
308 949.52
309 92.13
312 796.69
313 563.57
316 994.2
318 698.79
320 903.02
345 539.71
368 184.57
370 532.35
372 113.88
383 598.76
385 629.03
399 146.56
401 675.3
404 1216.92
405 653.42
410 536.9
416 1142
417 516.04
419 557.95
426 694.99
432 291.73
433 321.83
434 651.73
442 265.51
448 1280.1
452 716.55
453 235.32
456 562.09
457 502.01
459 629.85
463 352.62
475 479.54
496 149.33
502 175.1
503 761.43
504 483.79
512 1369.71
514 579.39
523 457.07
525 381.46
528 737.1
529 431.3
536 403.9
540 194.31
545 783.51
636 224.39
640 918.67
658 805.51
683 828.52
696 248.42
733 852.3
746 277.62
768 863.45
775 881.66
810 299.58
856 1079.05
857 901.24
859 923.88
866 318.52
881 944.36
896 956.89
911 340.17
927 371.73
944 979.11
968 1087.81
969 1001.7
974 394.14
1024 1406.88
1037 1027.84
1060 422.34
1086 453.81
1111 1064.8
1120 1087.21
1139 1111.43
1152 1043.19
1172 1132.11
1183 495.75
1202 1159.26
1244 517.93
1280 1348.28
1316 540.9
1321 1194.64
1330 564.28
1343 1219.65
1408 587.54
1429 593.16
1443 1255.22
1468 636.19
1474 1275.72
1481 615.74
1536 1161.45
1556 716.91
1557 677.57
1580 1209.24
1581 645.45
1589 1310.98
1600 813.04
1608 666.13
1613 773.57
1664 1238.15
1669 744.67
1741 709.34
1788 924
1790 736.49
1821 765.73
1920 10000
1930 794.07
1981 816.26
2048 1382.6
2072 869.29
2076 854.4
2101 893.27
2176 1304.67
2184 933.41
2215 950.82
2257 980.09
2304 1288.47
2322 1004.76
2353 1028.39
2402 1053.88
2410 1079.87
2432 10000
2439 1108.03
2443 1240.47
2444 1220.15
2448 1305.41
2451 1131.39
2466 1120.17
2472 1288.75
2475 1264.43
2476 1242.38
2477 1199.83
2478 1309.61
2480 1283.42
2486 1272.88
2488 1335.07
2490 1189.32
2491 1170.35
2495 1144.49
2506 1172.49
2508 1343.93
2510 1207.43
2512 1284
2513 1196.38
2514 1381.75
2518 1358.26
2527 1369.2
2536 1299.47
2552 1385.61
2560 10000
2561 1409.39
2592 1432.89
